Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
The Benchwarmers,27-02-2006,Color,Comedy,English,USA,Teens,Jon Lovitz,Dennis Dugan,11000,13125,221,0,5.6,90.0,75,57651794,33000000
The Black Dahlia,06-12-2006,Color,Crime,English,Germany,Over 18,Scarlett Johansson,Brian De Palma,19000,22833,0,0,5.6,240.0,121,22518325,50000000
The Break-Up,27-10-2006,Color,Comedy,English,USA,Teens,Jon Favreau,Peyton Reed,4000,8315,235,0,5.8,183.0,106,118683135,52000000
The Bubble,08-12-2006,Color,Comedy,Hebrew,Israel,Unrated,Ohad Knoller,Eytan Fox,53,137,21,0,7.3,51.0,90,155972,1500000
The Covenant,02-03-2006,Color,Action,English,USA,Teens,Laura Ramsey,Renny Harlin,960,3261,212,3000,5.3,120.0,97,23292105,20000000
The Da Vinci Code,07-06-2006,Color,Mystery,English,USA,Teens,Tom Hanks,Ron Howard,15000,16008,2000,0,6.6,294.0,174,217536138,125000000
The Departed,23-09-2006,Color,Crime,English,USA,Over 18,Leonardo DiCaprio,Martin Scorsese,29000,45648,17000,29000,8.5,352.0,151,132373442,90000000
The Devil Wears Prada,14-11-2006,Color,Comedy,English,USA,Teens,Meryl Streep,David Frankel,11000,23923,64,0,6.8,208.0,109,124732962,35000000
The Fast and the Furious: Tokyo Drift,15-12-2006,Color,Action,English,USA,Teens,Amber Stevens West,Justin Lin,584,1235,681,0,6.0,158.0,104,62494975,85000000
The Fountain,15-03-2006,Color,Drama,English,USA,Teens,Hugh Jackman,Darren Aronofsky,20000,24640,0,23000,7.3,274.0,96,10139254,35000000
The Good German,02-12-2006,Black and White,Drama,English,USA,Over 18,Tony Curran,Steven Soderbergh,845,2355,0,559,6.1,183.0,105,1304837,32000000
The Grudge 2,08-01-2006,Color,Horror,English,USA,Teens,Sarah Michelle Gellar,Takashi Shimizu,4000,5746,70,930,5.0,131.0,137,39143839,20000000
The Hills Have Eyes,14-07-2006,Color,Horror,English,USA,Over 18,Dan Byrd,Alexandre Aja,1000,4500,192,0,6.4,265.0,108,41777564,15000000
The History Boys,15-08-2006,Color,Comedy,English,UK,Over 18,Dominic Cooper,Nicholas Hytner,3000,5977,13,0,6.9,112.0,109,2706659,2000000
The Hoax,04-11-2006,Color,Comedy,English,USA,Over 18,Hope Davis,Lasse HallstrÃ¶m,442,1134,529,348,6.7,142.0,116,7156933,25000000
The Holiday,10-05-2006,Color,Comedy,English,USA,Teens,Kate Winslet,Nancy Meyers,14000,17423,278,19000,6.9,157.0,138,63224849,85000000
The Host,04-02-2006,Color,Comedy,Korean,South Korea,Over 18,Doona Bae,Joon-ho Bong,629,1173,584,7000,7.0,363.0,110,2201412,12215500000
The Illusionist,24-01-2006,Color,Drama,English,USA,Teens,Rufus Sewell,Neil Burger,3000,4210,168,15000,7.6,236.0,110,39825798,16000000
The Lake House,28-02-2006,Color,Drama,English,USA,Parental Guidance,Keanu Reeves,Alejandro Agresti,18000,18693,18,0,6.8,175.0,99,52320979,40000000
The Last King of Scotland,30-04-2006,Color,Biography,English,UK,Over 18,David Oyelowo,Kevin Macdonald,1000,1184,162,0,7.7,252.0,121,17605861,6000000
The Lives of Others,15-06-2006,Color,Drama,German,Germany,Over 18,Sebastian Koch,Florian Henckel von Donnersmarck,380,927,207,39000,8.5,215.0,137,11284657,2000000
The Marine,08-12-2006,Color,Action,English,USA,Teens,Kelly Carlson,John Bonito,472,1045,8,0,4.7,78.0,92,18843314,20000000
The Nativity Story,08-11-2006,Color,Drama,English,USA,Parental Guidance,Keisha Castle-Hughes,Catherine Hardwicke,446,966,308,0,6.8,122.0,101,37617947,30000000
The Night Listener,11-01-2006,Color,Crime,English,USA,Over 18,Robin Williams,Patrick Stettner,49000,50831,5,576,5.9,125.0,81,7825820,4000000
The Painted Veil,18-06-2006,Color,Drama,Mandarin,China,Teens,Toby Jones,John Curran,2000,2608,43,0,7.5,143.0,125,8047690,19400000
The Pink Panther,08-06-2006,Color,Adventure,English,USA,Parental Guidance,Roger Rees,Shawn Levy,1000,1267,189,0,5.6,147.0,93,82226474,65000000
The Prestige,02-07-2006,Color,Drama,English,USA,Teens,Christian Bale,Christopher Nolan,23000,63986,22000,49000,8.5,341.0,130,53082743,40000000
The Pursuit of Happyness,18-02-2006,Color,Biography,English,USA,Teens,Will Smith,Gabriele Muccino,10000,11036,125,32000,8.0,201.0,117,162586036,55000000
The Queen,05-06-2006,Color,Biography,English,UK,Teens,Roger Allam,Stephen Frears,326,486,350,0,7.3,280.0,94,56437947,9800000
The Sentinel,23-02-2006,Color,Action,English,USA,Teens,Blair Brown,Clark Johnson,310,1352,69,690,6.1,161.0,107,36279230,60000000
The Shaggy Dog,08-01-2006,Color,Comedy,English,USA,Parental Guidance,Robert Downey Jr.,Brian Robbins,21000,24664,48,747,4.4,76.0,98,61112916,50000000
The Texas Chainsaw Massacre: The Beginning,26-07-2006,Color,Horror,English,USA,Over 18,Matt Bomer,Jonathan Liebesman,20000,26402,473,0,5.9,196.0,83,39511038,16000000
The Trials of Darryl Hunt,26-02-2006,Color,Crime,English,USA,Teens,Darryl Hunt,Ricki Stern,2,2,15,246,7.7,11.0,106,1111,200000
This Is England,07-08-2006,Color,Crime,English,UK,Unrated,Stephen Graham,Shane Meadows,1000,3282,222,11000,7.7,172.0,101,327919,1500000
Thr3e,23-10-2006,Color,Drama,English,Poland,Teens,Marc Blucas,Robby Henson,973,2306,9,250,5.1,25.0,101,978908,2400000
Ultraviolet,15-01-2006,Color,Action,English,USA,Teens,Milla Jovovich,Kurt Wimmer,14000,15271,110,0,4.4,158.0,94,18500966,30000000
Unaccompanied Minors,22-07-2006,Color,Adventure,English,USA,Parental Guidance,Tyler James Williams,Paul Feig,931,4431,176,498,5.1,73.0,90,16647384,26000000
Underworld: Evolution,14-03-2006,Color,Action,English,USA,Over 18,Sophia Myles,Len Wiseman,956,2998,235,0,6.8,206.0,102,62318875,50000000
United 93,10-10-2006,Color,Drama,English,USA,Over 18,Christian Clemenson,Paul Greengrass,97,313,521,0,7.6,279.0,111,31471430,15000000
We Are Marshall,20-07-2006,Color,Drama,English,USA,Parental Guidance,Matthew McConaughey,McG,11000,12088,368,0,7.1,96.0,131,43532294,65000000
When a Stranger Calls,10-03-2006,Color,Horror,English,USA,Teens,Madeline Carroll,Simon West,1000,2452,165,0,5.0,152.0,87,47860214,15000000
Who Killed the Electric Car?,23-05-2006,Color,Documentary,English,USA,Parental Guidance,Ed Begley Jr.,Chris Paine,783,1447,2,0,7.7,87.0,92,1677838,1000000
World Trade Center,18-04-2006,Color,Drama,English,USA,Teens,Nicolas Cage,Oliver Stone,12000,14421,0,0,6.0,242.0,129,70236496,63000000
Wristcutters: A Love Story,05-03-2006,Color,Comedy,English,USA,Over 18,Leslie Bibb,Goran Dukic,1000,4720,21,11000,7.4,117.0,88,104077,1000000
X-Men: The Last Stand,02-06-2006,Color,Action,English,Canada,Teens,Hugh Jackman,Brett Ratner,20000,21714,420,0,6.8,334.0,104,234360014,210000000
"You, Me and Dupree",11-11-2006,Color,Comedy,English,USA,Teens,Todd Stashwick,Anthony Russo,277,847,94,0,5.6,136.0,110,75604320,54000000
Zoom,03-04-2006,Color,Action,English,USA,Parental Guidance,Kevin Zegers,Peter Hewitt,2000,5022,12,494,4.2,63.0,83,11631245,35000000
1408,11-03-2007,Color,Fantasy,English,USA,Teens,Drew Powell,Mikael HÃ¥fstrÃ¶m,129,214,101,11000,6.8,314.0,114,71975611,25000000
28 Weeks Later,01-10-2007,Color,Drama,English,UK,Over 18,Jeremy Renner,Juan Carlos Fresnadillo,10000,11471,35,0,7.0,274.0,100,28637507,15000000
3:10 to Yuma,30-01-2007,Color,Adventure,English,USA,Over 18,Christian Bale,James Mangold,23000,33548,446,0,7.8,295.0,122,53574088,55000000
30 Days of Night,06-11-2007,Color,Horror,English,USA,Over 18,Danny Huston,David Slade,430,814,171,0,6.6,304.0,113,39568996,32000000
"4 Months, 3 Weeks and 2 Days",09-06-2007,Color,Drama,Romanian,Romania,Unrated,Anamaria Marinca,Cristian Mungiu,131,264,163,14000,7.9,233.0,113,1185783,590000
88 Minutes,12-10-2007,Color,Crime,English,USA,Over 18,Al Pacino,Jon Avnet,14000,16722,50,0,5.9,158.0,108,16930884,30000000
A Mighty Heart,28-01-2007,Color,Biography,English,USA,Over 18,Angelina Jolie Pitt,Michael Winterbottom,11000,12178,187,923,6.7,190.0,108,9172810,16000000
Across the Universe,11-07-2007,Color,Drama,English,USA,Teens,Jim Sturgess,Julie Taymor,5000,5405,278,14000,7.4,156.0,133,24343673,45000000
Aliens vs. Predator: Requiem,16-06-2007,Color,Action,English,USA,Over 18,Sam Trammell,Colin Strause,1000,4324,25,0,4.7,211.0,102,41797066,40000000
Alvin and the Chipmunks,02-09-2007,Color,Animation,English,USA,Parental Guidance,Jesse McCartney,Tim Hill,1000,2847,25,0,5.2,131.0,92,217326336,60000000
American Gangster,10-04-2007,Color,Biography,English,USA,Over 18,Denzel Washington,Ridley Scott,18000,20354,0,0,7.8,300.0,176,130127620,100000000
Aqua Teen Hunger Force Colon Movie Film for Theaters,02-08-2007,Color,Action,English,USA,Over 18,Tina Fey,Matt Maiellaro,2000,3071,8,307,6.9,82.0,86,5518918,750000
Atonement,20-08-2007,Color,Drama,English,UK,Over 18,Benedict Cumberbatch,Joe Wright,19000,20499,456,12000,7.8,316.0,123,50921738,30000000
August Rush,20-03-2007,Color,Drama,English,USA,Parental Guidance,Robin Williams,Kirsten Sheridan,49000,50927,59,18000,7.5,148.0,114,31655091,30000000
Awake,08-11-2007,Color,Crime,English,USA,Over 18,Hayden Christensen,Joby Harold,4000,6954,8,0,6.5,133.0,84,14373825,8600000
Becoming Jane,22-01-2007,Color,Biography,English,UK,Parental Guidance,Anne Hathaway,Julian Jarrold,11000,12554,11,0,7.1,150.0,120,18663911,16500000
Bee Movie,18-10-2007,Color,Adventure,English,USA,Parental Guidance,Matthew Broderick,Steve Hickner,2000,6576,58,0,6.2,194.0,91,126597121,150000000
Beowulf,13-04-2007,Color,Action,English,USA,Teens,Robin Wright,Robert Zemeckis,18000,31523,0,3000,6.3,287.0,115,82161969,150000000
Blades of Glory,21-03-2007,Color,Comedy,English,USA,Teens,Will Ferrell,Josh Gordon,8000,13232,8,0,6.3,191.0,93,118153533,61000000
Blonde Ambition,18-04-2007,Color,Comedy,English,USA,Teens,Drew Fuller,Scott Marshall,906,4725,7,160,3.9,20.0,93,5561,10000000
Bridge to Terabithia,13-02-2007,Color,Adventure,English,USA,Parental Guidance,Josh Hutcherson,Gabor Csupo,14000,28071,47,6000,7.2,181.0,96,82234139,17000000
Brooklyn Rules,02-04-2007,Color,Crime,English,USA,Over 18,Jerry Ferrara,Michael Corrente,480,1234,30,226,6.4,41.0,99,398420,8000000
Caramel,27-07-2007,Color,Comedy,Arabic,France,Parental Guidance,Yasmine Al Massri,Nadine Labaki,227,231,0,0,7.2,109.0,95,1060591,1300000
Charlie Bartlett,27-10-2007,Color,Comedy,English,USA,Over 18,Robert Downey Jr.,Jon Poll,21000,22577,20,0,7.0,146.0,97,3950294,12000000
Charlie Wilson's War,23-04-2007,Color,Biography,English,USA,Over 18,Philip Seymour Hoffman,Mike Nichols,22000,60646,0,0,7.1,269.0,102,66636385,75000000
Code Name: The Cleaner,30-10-2007,Color,Action,English,USA,Teens,Callum Rennie,Les Mayfield,716,2700,10,233,4.5,53.0,91,8104069,20000000
Control,29-12-2007,Black and White,Biography,English,UK,Over 18,Sam Riley,Anton Corbijn,845,2614,210,13000,7.7,183.0,122,871577,4500000
Daddy Day Camp,04-03-2007,Color,Comedy,English,USA,Parental Guidance,Lochlyn Munro,Fred Savage,555,1752,0,256,2.9,52.0,89,13235267,6000000
Death at a Funeral,29-06-2007,Color,Comedy,English,USA,Over 18,Peter Dinklage,Frank Oz,22000,24324,0,0,7.4,168.0,87,8579684,9000000
Death Sentence,10-02-2007,Color,Action,English,USA,Over 18,Aisha Tyler,James Wan,856,3309,0,0,6.8,166.0,111,9525276,20000000
Diary of the Dead,22-10-2007,Color,Horror,English,USA,Over 18,Megan Park,George A. Romero,569,1797,0,0,5.7,280.0,95,952620,2000000
Disturbia,12-03-2007,Color,Drama,English,USA,Teens,Sarah Roemer,D.J. Caruso,884,2288,154,0,6.9,253.0,105,80050171,20000000
Dragon Wars: D-War,24-05-2007,Color,Action,English,South Korea,Teens,Robert Forster,Hyung-rae Shim,889,3274,26,0,3.6,93.0,107,10956379,35000000
Eastern Promises,02-05-2007,Color,Crime,English,USA,Over 18,Viggo Mortensen,David Cronenberg,10000,17211,0,0,7.7,356.0,96,17114882,25000000
Elite Squad,09-03-2007,Color,Action,Portuguese,Brazil,Over 18,Wagner Moura,JosÃ© Padilha,585,666,294,11000,8.1,142.0,115,8060,4000000
Elizabeth: The Golden Age,16-06-2007,Color,Biography,English,UK,Teens,Eddie Redmayne,Shekhar Kapur,13000,16899,159,0,6.9,202.0,114,16264475,55000000
Enchanted,06-12-2007,Color,Animation,English,USA,Parental Guidance,Jeff Bennett,Kevin Lima,283,662,36,0,7.1,222.0,107,127706877,85000000
Epic Movie,07-10-2007,Color,Adventure,English,USA,Teens,David Carradine,Jason Friedberg,926,4293,82,0,2.3,112.0,93,39737645,20000000
Evan Almighty,08-12-2007,Color,Comedy,English,USA,Parental Guidance,Jimmy Bennett,Tom Shadyac,87000,108016,293,2000,5.4,186.0,96,100289690,175000000
Fantastic 4: Rise of the Silver Surfer,27-02-2007,Color,Action,English,USA,Parental Guidance,Chris Evans,Tim Story,11000,15302,167,0,5.6,262.0,92,131920333,130000000
Finishing the Game: The Search for a New Bruce Lee,19-07-2007,Color,Comedy,English,USA,Unrated,Monique Gabriela Curnen,Justin Lin,239,734,681,155,6.2,35.0,84,52850,500000
Freedom Writers,05-11-2007,Color,Biography,English,Germany,Teens,Hunter Parrish,Richard LaGravenese,2000,3994,98,10000,7.5,84.0,123,36581633,21000000
Funny Games,27-11-2007,Color,Crime,English,USA,Over 18,Naomi Watts,Michael Haneke,6000,6748,0,0,6.5,250.0,111,1294640,15000000
Georgia Rule,23-11-2007,Color,Comedy,English,USA,Over 18,Hector Elizondo,Garry Marshall,995,4039,0,681,5.9,88.0,113,18882880,20000000
Ghost Rider,15-08-2007,Color,Action,English,USA,Teens,Nicolas Cage,Mark Steven Johnson,12000,14017,160,0,5.2,276.0,123,115802596,110000000
Good Luck Chuck,28-12-2007,Color,Comedy,English,USA,Over 18,Dane Cook,Mark Helfrich,1000,2822,7,0,5.6,127.0,101,35000629,25000000
Gracie,04-01-2007,Color,Biography,English,USA,Teens,Emma Bell,Davis Guggenheim,702,2007,49,313,6.2,65.0,95,2955039,9000000
Grindhouse,30-03-2007,Color,Action,English,USA,Over 18,Quentin Tarantino,Robert Rodriguez,16000,22186,0,0,7.6,250.0,189,25031037,53000000
Hairspray,16-10-2007,Color,Comedy,English,USA,Parental Guidance,Jerry Stiller,Adam Shankman,719,1673,163,0,6.7,219.0,117,118823091,75000000
Hannibal Rising,12-09-2007,Color,Crime,English,UK,Over 18,Li Gong,Peter Webber,879,1344,73,3000,6.2,209.0,131,27667947,50000000
Harry Potter and the Order of the Phoenix,21-10-2007,Color,Adventure,English,UK,Teens,Robert Pattinson,David Yates,21000,33433,282,0,7.5,329.0,138,292000866,150000000
Hitman,18-02-2007,Color,Action,English,France,Over 18,Henry Ian Cusick,Xavier Gens,866,2124,87,0,6.3,193.0,94,39687528,24000000
Hostel: Part II,13-07-2007,Color,Horror,English,USA,Over 18,Jay Hernandez,Eli Roth,1000,4707,0,0,5.4,252.0,94,17544812,10000000
Hot Fuzz,09-03-2007,Color,Action,English,UK,Over 18,Bill Bailey,Edgar Wright,175,485,1000,17000,7.9,285.0,121,23618786,8000000
I Am Legend,26-07-2007,Color,Drama,English,USA,Teens,Will Smith,Francis Lawrence,10000,13076,508,11000,7.2,323.0,104,256386216,150000000
I'm Not There.,05-04-2007,Black and White,Biography,English,USA,Over 18,Christian Bale,Todd Haynes,23000,36398,162,0,7.0,231.0,135,4001121,20000000
In the Land of Women,16-01-2007,Color,Comedy,English,USA,Teens,Kristen Stewart,Jon Kasdan,17000,20312,21,1000,6.5,81.0,97,11043445,10000000
In the Name of the King: A Dungeon Siege Tale,24-09-2007,Color,Action,English,Germany,Teens,Jason Statham,Uwe Boll,26000,26564,892,0,3.8,140.0,156,4535117,60000000
In the Shadow of the Moon,20-08-2007,Black and White,Documentary,English,UK,Parental Guidance,John F. Kennedy,David Sington,168,408,90,0,8.1,107.0,100,1134049,2000000
Into the Wild,01-03-2007,Color,Adventure,English,USA,Over 18,Kristen Stewart,Sean Penn,17000,18752,0,76000,8.2,274.0,148,18352454,15000000
Juno,12-06-2007,Color,Comedy,English,USA,Teens,J.K. Simmons,Jason Reitman,24000,28817,655,10000,7.5,387.0,96,143492840,7500000
Kiss the Bride,06-12-2007,Color,Comedy,English,USA,Over 18,Tori Spelling,C. Jay Cox,396,2310,6,60,5.7,9.0,100,31937,500000
Knocked Up,29-01-2007,Color,Comedy,English,USA,Over 18,Harold Ramis,Judd Apatow,11000,12874,0,0,7.0,251.0,133,148734225,30000000
Lars and the Real Girl,04-02-2007,Color,Comedy,English,USA,Teens,Ryan Gosling,Craig Gillespie,33000,34351,44,19000,7.4,226.0,106,5949693,12000000
License to Wed,21-06-2007,Color,Comedy,English,USA,Teens,Robin Williams,Ken Kwapis,49000,52566,42,913,5.3,120.0,91,43792641,35000000
Lions for Lambs,10-01-2007,Color,Drama,English,USA,Over 18,Meryl Streep,Robert Redford,11000,32875,0,0,6.2,227.0,92,14998070,35000000
Live Free or Die Hard,25-02-2007,Color,Action,English,USA,Teens,Bruce Willis,Len Wiseman,13000,13961,235,0,7.2,354.0,129,134520804,110000000
Love in the Time of Cholera,17-06-2007,Color,Drama,English,USA,Over 18,Marcela Mar,Mike Newell,267,538,179,0,6.4,115.0,139,4584886,45000000
Lucky You,13-05-2007,Color,Drama,English,USA,Teens,Robert Downey Jr.,Curtis Hanson,21000,26334,161,672,5.9,106.0,124,5755286,55000000
Married Life,26-11-2007,Color,Crime,English,USA,Teens,David Richmond-Peck,Ira Sachs,60,141,60,314,6.3,121.0,91,1506998,12000000
Martian Child,17-08-2007,Color,Comedy,English,USA,Parental Guidance,Oliver Platt,Menno Meyjes,1000,2495,43,0,6.8,118.0,106,7486906,27000000
Michael Clayton,01-09-2007,Color,Crime,English,USA,Over 18,Tom Wilkinson,Tony Gilroy,1000,3284,209,0,7.3,299.0,119,49024969,25000000
MoliÃ¨re,25-08-2007,Color,Comedy,French,France,Teens,Romain Duris,Laurent Tirard,809,1651,2,815,7.3,78.0,120,634277,16000000
Mongol: The Rise of Genghis Khan,26-08-2007,Color,Adventure,Mongolian,Russia,Over 18,Tadanobu Asano,Sergey Bodrov,627,653,44,0,7.3,160.0,126,5701643,20000000
Mr. Bean's Holiday,25-09-2007,Color,Comedy,English,UK,Parental Guidance,Lily Atkinson,Steve Bendelack,328,794,68,0,6.3,151.0,90,32553210,25000000
My Blueberry Nights,22-06-2007,Color,Drama,English,Hong Kong,Teens,Natalie Portman,Kar-Wai Wong,20000,20364,0,0,6.7,192.0,95,866778,10000000
My Name Is Bruce,26-03-2007,Color,Comedy,English,USA,Over 18,Ted Raimi,Bruce Campbell,634,1238,0,0,6.3,100.0,84,173066,1500000
Nancy Drew,02-10-2007,Color,Comedy,English,USA,Parental Guidance,Kay Panabaker,Andrew Fleming,720,3327,26,590,5.9,93.0,99,25584685,20000000
No Country for Old Men,09-03-2007,Color,Crime,English,USA,Over 18,Kelly Macdonald,Ethan Coen,2000,4738,1000,21000,8.1,488.0,122,74273505,25000000
No Reservations,10-05-2007,Color,Comedy,English,USA,Parental Guidance,ZoÃ« Kravitz,Scott Hicks,943,3497,96,0,6.3,171.0,104,43097652,28000000
Ocean's Thirteen,10-11-2007,Color,Crime,English,USA,Teens,Al Pacino,Steven Soderbergh,14000,43499,0,0,6.9,238.0,122,117144465,85000000
Once,12-05-2007,Color,Drama,English,Ireland,Over 18,Glen Hansard,John Carney,200,332,109,26000,7.9,232.0,85,9437933,180000
P.S. I Love You,22-12-2007,Color,Drama,English,USA,Teens,Gerard Butler,Richard LaGravenese,18000,18726,98,20000,7.1,131.0,126,53680848,30000000
Paranormal Activity,16-12-2007,Color,Horror,English,USA,Over 18,Micah Sloat,Oren Peli,189,330,110,12000,6.3,409.0,84,107917283,15000
Persepolis,07-06-2007,Color,Animation,French,France,Teens,Catherine Deneuve,Vincent Paronnaud,963,1754,10,14000,8.0,242.0,89,4443403,7300000
Pirates of the Caribbean: At World's End,23-11-2007,Color,Action,English,USA,Teens,Johnny Depp,Gore Verbinski,40000,48350,563,0,7.1,302.0,169,309404152,300000000
Premonition,22-10-2007,Color,Drama,English,USA,Teens,Nia Long,Mennan Yapo,826,1825,9,0,5.9,184.0,96,47852604,20000000
Ratatouille,27-03-2007,Color,Animation,English,USA,General,Janeane Garofalo,Brad Bird,1000,4764,663,10000,8.0,318.0,111,206435493,150000000
Redacted,22-10-2007,Color,Crime,English,USA,Over 18,Mike Figueroa,Brian De Palma,343,408,0,559,6.2,133.0,90,65087,5000000
Reign Over Me,19-08-2007,Color,Drama,English,USA,Over 18,Adam Sandler,Mike Binder,11000,17050,57,0,7.5,154.0,124,19661987,20000000
Rendition,12-12-2007,Color,Drama,English,USA,Over 18,J.K. Simmons,Gavin Hood,24000,50950,151,0,6.8,131.0,122,9664316,27500000
Reno 911!: Miami,19-06-2007,Color,Comedy,English,USA,Over 18,Wendi McLendon-Covey,Robert Ben Garant,655,2737,134,441,5.9,89.0,84,20339754,10000000
Resident Evil: Extinction,10-11-2007,Color,Action,English,France,Over 18,Milla Jovovich,Russell Mulcahy,14000,16225,85,0,6.3,216.0,94,50648679,45000000
Resurrecting the Champ,02-10-2007,Color,Drama,English,USA,Teens,Harry Lennix,Rod Lurie,748,2417,37,689,6.8,104.0,112,3169424,13000000
Rush Hour 3,04-05-2007,Color,Action,English,USA,Teens,Tzi Ma,Brett Ratner,268,1125,420,0,6.2,162.0,91,140080850,140000000
Savage Grace,30-04-2007,Color,Drama,English,Spain,Unrated,Eddie Redmayne,Tom Kalin,13000,15093,4,0,5.9,121.0,97,434417,4600000
Saw IV,27-07-2007,Color,Horror,English,USA,Over 18,Costas Mandylor,Darren Lynn Bousman,723,3492,163,0,5.9,190.0,96,63270259,10000000
Shooter,23-06-2007,Color,Action,English,USA,Over 18,Tate Donovan,Antoine Fuqua,650,1640,845,0,7.2,198.0,124,46975183,61000000
Shrek the Third,16-04-2007,Color,Adventure,English,USA,Parental Guidance,Justin Timberlake,Chris Miller,3000,4705,50,0,6.1,227.0,93,320706665,160000000
Sicko,23-11-2007,Color,Documentary,English,USA,Teens,Michael Moore,Michael Moore,909,1633,909,0,8.0,263.0,123,24530513,9000000
Spider-Man 3,10-02-2007,Color,Action,English,USA,Teens,J.K. Simmons,Sam Raimi,24000,46055,0,0,6.2,392.0,156,336530303,258000000
Stardust,01-11-2007,Color,Adventure,English,UK,Teens,Henry Cavill,Matthew Vaughn,15000,16034,905,15000,7.7,228.0,127,38345403,70000000
Stomp the Yard,05-01-2007,Color,Drama,English,USA,Teens,Chris Brown,Sylvain White,997,3544,41,0,5.2,86.0,109,61356221,14000000
Sunshine,05-04-2007,Color,Adventure,English,UK,Over 18,Chris Evans,Danny Boyle,11000,11623,0,15000,7.3,308.0,107,3675072,26000000
Superbad,22-02-2007,Color,Comedy,English,USA,Over 18,Emma Stone,Greg Mottola,15000,17584,99,0,7.6,256.0,119,121463226,20000000
Surf's Up,25-03-2007,Color,Animation,English,USA,Parental Guidance,Jeff Bridges,Ash Brannon,12000,25590,9,0,6.8,154.0,85,58867694,100000000
Sydney White,19-09-2007,Color,Comedy,English,USA,Teens,Danny Strong,Joe Nussbaum,714,2785,18,0,6.3,72.0,108,11702090,16500000
Taxi to the Dark Side,24-12-2007,Color,Crime,English,USA,Over 18,Alex Gibney,Alex Gibney,141,313,141,0,7.7,84.0,53,274661,1000000
The Assassination of Jesse James by the Coward Robert Ford,18-04-2007,Color,Biography,English,USA,Over 18,Brad Pitt,Andrew Dominik,11000,22516,181,0,7.5,273.0,160,3904982,30000000
The Bourne Ultimatum,09-04-2007,Color,Action,English,USA,Teens,Matt Damon,Paul Greengrass,13000,17369,521,0,8.1,329.0,115,227137090,110000000
The Brothers Solomon,26-06-2007,Color,Comedy,English,USA,Over 18,Jenna Fischer,Bob Odenkirk,966,3307,0,319,5.3,51.0,93,900926,10000000
The Bucket List,26-08-2007,Color,Adventure,English,USA,Teens,Morgan Freeman,Rob Reiner,11000,14868,0,22000,7.4,207.0,97,93452056,45000000
The Game Plan,26-11-2007,Color,Comedy,English,USA,Parental Guidance,Dwayne Johnson,Andy Fickman,12000,15170,99,0,6.2,112.0,110,90636983,22000000
The Golden Compass,28-01-2007,Color,Adventure,English,USA,Teens,Christopher Lee,Chris Weitz,16000,24106,129,0,6.1,251.0,113,70083519,180000000
The Good Night,24-03-2007,Color,Comedy,English,USA,Over 18,Stephen Graham,Jake Paltrow,1000,1245,17,445,5.9,50.0,93,20380,15000000
The Great Debaters,12-07-2007,Color,Biography,English,USA,Teens,Denzel Washington,Denzel Washington,18000,22745,18000,0,7.6,112.0,126,30226144,15000000
The Hammer,26-10-2007,Color,Comedy,English,USA,Over 18,John Enos III,Charles Herman-Wurmfeld,465,897,0,337,7.3,73.0,88,442638,850000
The Hills Have Eyes II,26-03-2007,Color,Horror,English,USA,Over 18,Jeff Kober,Martin Weisz,919,2559,7,0,5.1,161.0,89,20801344,15000000
The Hunting Party,23-04-2007,Color,Adventure,English,USA,Over 18,James Brolin,Richard Shepard,499,504,47,0,6.9,94.0,101,876671,25000000
The Invasion,05-04-2007,Color,Sci-Fi,English,USA,Teens,Roger Rees,Oliver Hirschbiegel,1000,2323,101,0,5.9,232.0,99,15071514,80000000
The Kingdom,02-11-2007,Color,Action,English,USA,Over 18,Jennifer Garner,Peter Berg,3000,5187,532,0,7.1,234.0,110,47456450,70000000
The Kite Runner,17-06-2007,Color,Drama,Dari,USA,Teens,Mustafa Haidari,Marc Forster,283,904,395,0,7.6,201.0,128,15797907,20000000
The Last Legion,18-04-2007,Color,Action,English,UK,Teens,Colin Firth,Doug Lefler,14000,14625,4,0,5.4,90.0,102,5932060,35000000
The Last Sin Eater,15-10-2007,Color,Drama,English,USA,Teens,Henry Thomas,Michael Landon Jr.,861,2161,84,285,5.9,18.0,117,379643,2200000
The Legend of God's Gun,13-08-2007,Color,Western,English,USA,Over 18,Joseph Campanella,Mike Bruce,32,72,6,13,4.1,3.0,78,243768,30000
The Life Before Her Eyes,13-07-2007,Color,Drama,English,USA,Over 18,Eva Amurri Martino,Vadim Perelman,797,2073,26,1000,6.4,78.0,90,303439,8000000
The Living Wake,22-08-2007,Color,Comedy,English,USA,Teens,Jim Gaffigan,Sol Tryon,472,1047,0,339,6.5,28.0,91,12055,500000
The Mist,02-06-2007,Color,Horror,English,USA,Over 18,Toby Jones,Frank Darabont,2000,5371,0,20000,7.2,330.0,126,25592632,18000000
The Number 23,06-12-2007,Color,Mystery,English,USA,Over 18,Logan Lerman,Joel Schumacher,8000,10938,541,10000,6.4,224.0,98,35063732,32000000
The Orphanage,07-06-2007,Color,Drama,Spanish,Spain,Over 18,Geraldine Chaplin,J.A. Bayona,382,954,171,11000,7.5,300.0,105,7159147,3400000
